hotel,price,score,avg review,avg review rating,reviews count,,,,,,,,
Punta Cana Princess Adults Only - All Inclusive,"$2,004 ",8.2,Very Good,6,"1,271",,,,,,,,
"Margaritaville Island Reserve Cap Cana Hammock - Adults-Only, A Karisma Island Reserve Inclusive Resort","$3,510 ",8.2,Very Good,6,83,,,,,,,,
"Royalton Bavaro, An Autograph Collection All-Inclusive Resort & Casino","$2,884 ",8.2,Very Good,6,"1,235",,,,,,,,
Iberostar Selection Bavaro Suites,"$2,094 ",8.2,Very Good,6,113,,,,,,,,
Iberostar Selection Hacienda Dominicus,"$2,822 ",8.2,Very Good,6,61,,,,,,,,
Viva V Samana by Wyndham- Adults Only - All Inclusive,"$1,683 ",8.1,Very Good,6,"1,698",,,,,,,,
Catalonia Santo Domingo,$986 ,8.1,Very Good,6,"3,697",,,,,,,,
Barcelo Santo Domingo,$692 ,8,Very Good,6,"1,822",,,,,,,,
AVENTURA VILLAGE LOS CORALES BEACH and SPA,$794 ,8,Very Good,6,186,,,,,,,,
Ocean el Faro Resort - All Inclusive,"$2,241 ",8,Very Good,6,475,,,,,,,,
Riu Republica - Adults Only - All Inclusive,"$1,887 ",8,Very Good,6,"1,487",,,,,,,,
Sheraton Santo Domingo,"$1,341 ",8,Very Good,6,448,,,,,,,,
NEW OPENING! Temptation Miches Resort - All Inclusive -Adults Only,"$3,645 ",8,Very Good,6,90,,,,,,,,
Sheraton Santo Domingo,"$1,341 ",8,Very Good,6,448,,,,,,,,
NEW OPENING! Temptation Miches Resort - All Inclusive -Adults Only,"$3,645 ",8,Very Good,6,90,,,,,,,,
Barceló Bávaro Palace All Inclusive,"$2,397 ",8,Very Good,6,"2,286",,,,,,,,
Iberostar Costa Dorada,"$1,310 ",7.9,Good,5,364,,,,,,,,
"Xeliter Vista Mare, Samana",$877 ,7.9,Good,5,195,,,,,,,,
DUCASSI SUITES ROOFTOP POOL - BEACH CLUB and SPA,$594 ,7.9,Good,5,69,,,,,,,,
